,0,1,2
129,,1637 28' Mod. Cal Type 19-4-100,1
130,,1633 28' Mod. Cal Type 24-4-100,1
131,,1648 30' AT&T Co-Location Pole,1
132,,1434 30' Concrete Pole (Ameron),195
133,1155 30' Davit,,232
134,,959 30' Davit - Bunker Hill,384
135,,1347 30' Davit-Se'lux Saturn 2,15
136,1292 30' Davit-Traffic,,44
137,,1548 30' Dec. Fluted Steel Pole-Traffic,23
138,,1547 30' Dec. Fluted Stl Pole-King Acorn Ped.,5
139,,1603 30' Dec. Steel Pole-Traffic-Spanish Base,2
140,,1546 30' Decorative Fluted Steel Pole,201
141,,1661 30' Decorative Fluted Steel Pole - 2,2
142,1399 30' Decorative Pole,,2
143,1375 30' Kerrigan,,4
144,1353 30' Lumec Pole,,77
145,,1455 30' Lumec Pole - Traffic,12
146,,1100 30' Octagonal Concrete STD,2
147,,1618 30' Philips Celcius Pole,96
148,1230 30' Sq Stl Pole,,20
149,,1582 30' Tapered Curved Pole,10
150,,1677 32' L.A. Smart Fusion Pole,1
151,1567 35' Davit,,2
152,1056 35' Highrise Rnd Stl,,44
153,,1055 40' Baseless Oct Concrete,9
154,1014 40' Davit,,2021
155,1045 40' Davit-2,,142
156,1415 40' Davit-2 Traffic,,4
157,1327 40' Davit-Gardco,,1
158,1295 40' Davit-Traffic,,257
159,,1406 40' Decorative Fluted Stl Pole,111
160,,1410 40' Decorative Fluted Stl Pole-2,46
161,,1237 40' Decorative Pole (Valmont),69
162,1107 40' Hi Rise Rnd Stl,,138
163,,1320 40' Light Pipe (Lower Grand Ave.),145
164,,1239 40' Round Stl (CD953),33
165,1111 40' Tprd Rnd Stl,,77
166,,"1673 44"" Landscape Forms Bollard",4
167,1015 44-6 Rnd Stl,,12
168,1659 50' CD953-SPL Pole,,15
169,1306 50' Davit,,12
170,1286 50' High Rise Pole,,47
171,,1345 50' Rnd Stl Pole (Traffic),2
172,1110 50' Tprd Rnd Stl Pole,,291
173,,1291 50' Tprd Rnd Stl-2 Gardco,11
174,,1363 80' Tapered Steel Pole,2
175,,1267 Ameron 25 CT-40 (MTA Bldg.),21
176,,1490 Ameron Pole - Kim CC,17
177,,1621 Amir LED Solar Spotlight,20
178,,1602 Architectural Bridge Light,2
179,1157 ASL 30' Fluted Std,,12
180,,1376 Baseless Octagonal Concrete,4
181,1597 Beam Mount Fixture,,29
182,1138 Bel-Air SPL 11',,472
183,1139 Bel-Air SPL 16',,28
184,1498 Bellagio Lantern,,2
185,,1620 B-K Lighting Tree Light,14
186,,1492 Bollard - Gardco BRM 822 - 42,2
187,1068 Bollard  Kim VRB1,,3
188,,1412 Bollard CB94R42-Concrete,20
189,,1073 Bollard Lumi-Dyne (CD957),62
190,,1207 Bridge - 14' Hyperion Ave,31
191,,1208 Bridge - 17' Hyperion Ave,61
192,1187 Bridge - 1st Street,,32
193,1188 Bridge - 4th Street,,72
194,,1242 Bridge - 4th Street (Pln),8
195,,1254 Bridge - 4th-Lorena (Trolley),11
196,,1255 Bridge - 4th-Lorena St,5
197,,1294 Bridge - 6th St. Pylon Post Top,9
198,1189 Bridge - 6th Street,,65
199,1175 Bridge - 7th Street,,26
200,,1176 Bridge - 7th Street (Pln),4
201,1244 Bridge - Avenue 26,,6
202,1185 Bridge - Avenue 43,,4
203,1213 Bridge - Avenue 60,,8
204,1253 Bridge - Barham Blvd,,12
205,1109 Bridge - Bishop Rd,,2
206,,1152 Bridge - Broadway Special,15
207,1118 Bridge - College St,,4
208,,1332 Bridge - Fletcher Dr (Pylon),4
209,1206 Bridge - Franklin Ave,,4
210,,1356 Bridge - Franklin Ave (Globe),4
211,1067 Bridge - Gaffey St,,20
212,1319 Bridge - Light Fixture,,37
213,1089 Bridge - Macy St (2),,15
214,1090 Bridge - Macy St (3),,6
215,,1225 Bridge - Mulholland Dr,10
216,,1619 Bridge - North Main St. (Replica),8
217,,1173 Bridge - Olympic Blvd (2),26
218,,1174 Bridge - Olympic Blvd (4),8
219,,1296 Bridge - Pasadena Ave,6
220,1170 Bridge - Pilgrimage,,6
221,1134 Bridge - Spring St,,16
222,,1168 Bridge - Washington Blvd,9
223,,1270 Bridge - Washington Blvd Pylons,4
224,1095 Bridge - West Blvd,,10
225,,1096 Bridge - West Blvd (Brkt),2
226,1466 C.I. 1204,,6
227,,574 C.I. Continental #350853,13
228,1069 Cal S-413 Upright,,48
229,303 Cal Type 10,,84
230,1264 Cal Type 10 - 25',,22
231,305 Cal Type 14,,94
232,306 Cal Type 15,,489
233,,1588 Cal Type 15 Modified Short,7
234,1526 Cal Type 16-3-100,,2
235,307 Cal Type 17,,42
236,1070 Cal Type 17-1-70,,4
237,,308 Cal Type 17-2-70,8
238,1393 Cal Type 17-2-80,,2
239,1435 Cal Type 17-3-100,,1126
240,,1578 Cal Type 17-3-100 (Dual Luminaire),2
241,1416 Cal Type 17-3-129,,5
242,1398 Cal Type 17-3-161,,53
243,1568 Cal Type 17-4-100,,4
244,310 Cal Type 19,,12
245,1032 Cal Type 19-1-70,,192
246,1519 Cal Type 19-2-161,,1
247,1071 Cal Type 19-2-70,,15
248,1307 Cal Type 19-2-80,,1
249,1515 Cal Type 19-3-100,,51
250,1339 Cal Type 19-3-113,,6
251,1395 Cal Type 19-3-129,,36
252,1457 Cal Type 19-3-161,,18
253,1033 Cal Type 19-3-70,,243
254,1442 Cal Type 19-3-80,,27
255,1432 Cal Type 19-4-100,,568
256,1417 Cal Type 19-4-129,,4
257,1382 Cal Type 19-4-161,,18
258,311 Cal Type 19A,,1
259,1031 Cal Type 21,,12
260,1549 Cal Type 23-4-100,,3
261,313 Cal Type 24,,18
262,1601 Cal Type 24-3-100,,1
263,1340 Cal Type 24-3-113,,4
264,1397 Cal Type 24-3-129,,29
265,1034 Cal Type 24-3-70,,187
266,1308 Cal Type 24-3-80,,5
267,1448 Cal Type 24-4-100,,187
268,1402 Cal Type 24-4-161,,17
269,1085 Cal Type 24-4-70,,5
270,314 Cal Type 24A,,3
271,315 Cal Type 26,,24
272,1505 Cal Type 26-3-100,,13
273,1362 Cal Type 26-3-113,,1
274,1331 Cal Type 26-3-129,,64
275,1504 Cal Type 26-3-161,,3
276,1035 Cal Type 26-3-70,,290
277,1364 Cal Type 26-3-80,,4
278,1436 Cal Type 26-4-100,,279
279,,1638 Cal Type 26-4-100 (Little Tokyo),1
280,1396 Cal Type 26-4-129,,4
281,1405 Cal Type 26-4-161,,70
282,1084 Cal Type 26-4-70,,15
283,1083 Cal Type 26-4-80,,30
284,,1533 Cal Type 26-5-161 (King 822 Lum.),1
285,1566 Cal Type 28,,1
286,1594 Cal Type 28-5-100,,1
287,1580 Cal Type 29-3-100,,1
288,1377 Cal Type 29-3-70,,5
289,1556 Cal Type 29-4-161,,1
290,1449 Cal Type 29-5-100,,106
291,1366 Cal Type 29-5-113,,2
292,1337 Cal Type 29-5-129,,8
293,1503 Cal Type 29-5-161,,11
294,,317 Cal Type 29-5-70,76
295,1445 Cal Type 29-5-80,,6
296,,1453 Cal Type 29-5-80 (Cyl. Lum.),1
297,1534 Cal Type 29A-5-161,,2
298,1082 Cal Type 3,,21
299,1300 Cal Type 3 (Traffic),,5
300,1066 Cal Type 30,,7
301,1599 Cal Type 31,,32
302,1161 Cal Type 32,,2
303,1669 Cal Type 60-5-100,,1
304,1497 Cal Type 61-5-100,,25
305,1338 Cal Type 61-5-129,,4
